Somnia,2022-11-03 15:42:14,AEB,-2048,-2380
Somnia,2022-11-03 15:42:14,AEL,-2460,-5960
Somnia,2022-11-03 15:42:14,CURX,0,0
Somnia,2022-11-03 15:42:14,CURY,1,1
Somnia,2022-11-03 15:42:14,INTX,0,0
Somnia,2022-11-03 15:42:14,INTY,0,0
Somnia,2022-11-03 15:42:14,IND,8124,8124
Somnia,2022-11-03 15:42:14,GEB,150,67
Somnia,2022-11-03 15:42:14,GEL,-174,-145
Somnia,2022-11-03 15:42:14,AEB,-2032,-2388
Somnia,2022-11-03 15:42:14,AEL,-2152,-5832
Somnia,2022-11-03 15:42:14,CURX,0,0
Somnia,2022-11-03 15:42:14,CURY,0,0
Somnia,2022-11-03 15:42:14,INTX,0,0
Somnia,2022-11-03 15:42:14,INTY,0,0
Somnia,2022-11-03 15:42:14,IND,8125,8125
Somnia,2022-11-03 15:42:14,GEB,156,76
Somnia,2022-11-03 15:42:14,GEL,-164,-116
Somnia,2022-11-03 15:42:14,AEB,-1944,-2360
Somnia,2022-11-03 15:42:14,AEL,-2268,-5892
Somnia,2022-11-03 15:42:14,CURX,1,1
Somnia,2022-11-03 15:42:14,CURY,0,0
Somnia,2022-11-03 15:42:14,INTX,0,0
Somnia,2022-11-03 15:42:14,INTY,0,0
Somnia,2022-11-03 15:42:14,IND,8126,8126
Somnia,2022-11-03 15:42:14,GEB,148,58
Somnia,2022-11-03 15:42:14,GEL,-184,-134
Somnia,2022-11-03 15:42:14,AEB,-1896,-2292
Somnia,2022-11-03 15:42:14,AEL,-2312,-5904
Somnia,2022-11-03 15:42:14,CURX,0,0
Somnia,2022-11-03 15:42:14,CURY,0,0
Somnia,2022-11-03 15:42:14,INTX,0,0
Somnia,2022-11-03 15:42:14,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8127,8127
Somnia,2022-11-03 15:42:15,GEB,161,57
Somnia,2022-11-03 15:42:15,GEL,-158,-148
Somnia,2022-11-03 15:42:15,AEB,-1980,-2520
Somnia,2022-11-03 15:42:15,AEL,-2360,-5996
Somnia,2022-11-03 15:42:15,CURX,2,0
Somnia,2022-11-03 15:42:15,CURY,0,1
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8128,8128
Somnia,2022-11-03 15:42:15,GEB,139,50
Somnia,2022-11-03 15:42:15,GEL,-162,-120
Somnia,2022-11-03 15:42:15,AEB,-1856,-2428
Somnia,2022-11-03 15:42:15,AEL,-2332,-6076
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,2
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8129,8129
Somnia,2022-11-03 15:42:15,GEB,133,61
Somnia,2022-11-03 15:42:15,GEL,-164,-112
Somnia,2022-11-03 15:42:15,AEB,-1784,-2332
Somnia,2022-11-03 15:42:15,AEL,-2460,-6104
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8130,8130
Somnia,2022-11-03 15:42:15,GEB,147,62
Somnia,2022-11-03 15:42:15,GEL,-166,-146
Somnia,2022-11-03 15:42:15,AEB,-1948,-2324
Somnia,2022-11-03 15:42:15,AEL,-2388,-5840
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8131,8131
Somnia,2022-11-03 15:42:15,GEB,146,74
Somnia,2022-11-03 15:42:15,GEL,-149,-125
Somnia,2022-11-03 15:42:15,AEB,-1888,-2496
Somnia,2022-11-03 15:42:15,AEL,-2504,-6084
Somnia,2022-11-03 15:42:15,CURX,1,0
Somnia,2022-11-03 15:42:15,CURY,0,1
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8132,8132
Somnia,2022-11-03 15:42:15,GEB,157,54
Somnia,2022-11-03 15:42:15,GEL,-177,-129
Somnia,2022-11-03 15:42:15,AEB,-1924,-2484
Somnia,2022-11-03 15:42:15,AEL,-2388,-5972
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8133,8133
Somnia,2022-11-03 15:42:15,GEB,144,74
Somnia,2022-11-03 15:42:15,GEL,-133,-117
Somnia,2022-11-03 15:42:15,AEB,-2036,-2360
Somnia,2022-11-03 15:42:15,AEL,-2396,-5928
Somnia,2022-11-03 15:42:15,CURX,2,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8134,8134
Somnia,2022-11-03 15:42:15,GEB,133,42
Somnia,2022-11-03 15:42:15,GEL,-149,-146
Somnia,2022-11-03 15:42:15,AEB,-1908,-2284
Somnia,2022-11-03 15:42:15,AEL,-2288,-5964
Somnia,2022-11-03 15:42:15,CURX,0,1
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8135,8135
Somnia,2022-11-03 15:42:15,GEB,146,60
Somnia,2022-11-03 15:42:15,GEL,-166,-137
Somnia,2022-11-03 15:42:15,AEB,-1956,-2392
Somnia,2022-11-03 15:42:15,AEL,-2264,-6132
Somnia,2022-11-03 15:42:15,CURX,0,2
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8136,8136
Somnia,2022-11-03 15:42:15,GEB,136,70
Somnia,2022-11-03 15:42:15,GEL,-175,-109
Somnia,2022-11-03 15:42:15,AEB,-2060,-2264
Somnia,2022-11-03 15:42:15,AEL,-2404,-5932
Somnia,2022-11-03 15:42:15,CURX,0,2
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8137,8137
Somnia,2022-11-03 15:42:15,GEB,140,44
Somnia,2022-11-03 15:42:15,GEL,-156,-137
Somnia,2022-11-03 15:42:15,AEB,-1924,-2360
Somnia,2022-11-03 15:42:15,AEL,-2412,-5984
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8138,8138
Somnia,2022-11-03 15:42:15,GEB,150,62
Somnia,2022-11-03 15:42:15,GEL,-127,-115
Somnia,2022-11-03 15:42:15,AEB,-2028,-2420
Somnia,2022-11-03 15:42:15,AEL,-2396,-6092
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,0,0
Somnia,2022-11-03 15:42:15,INTX,0,0
Somnia,2022-11-03 15:42:15,INTY,0,0
Somnia,2022-11-03 15:42:15,IND,8139,8139
Somnia,2022-11-03 15:42:15,GEB,167,58
Somnia,2022-11-03 15:42:15,GEL,-180,-118
Somnia,2022-11-03 15:42:15,AEB,-1876,-2344
Somnia,2022-11-03 15:42:15,AEL,-2368,-6084
Somnia,2022-11-03 15:42:15,CURX,0,0
Somnia,2022-11-03 15:42:15,CURY,1,0
